sheet_title,coord,value_type,fkt_name,fkt_code,used_names,used_meanings,used_py,py_fkt,model_code,code_duration
Kalkulation,Kalkulation!K5,ArrayFormula,fkt_kalkulation_k5,"'''=( act_nGrAx(x,n,Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x,Sex,Tafel,Zins)+gamma1*Act_axn_k(x,t,Sex,Tafel,Zins,1)+gamma2*(Act_axn_k(x,n,Sex,Tafel,Zins,1)-Act_axn_k(x,t,Sex,Tafel,Zins,1)))/((1-beta1)*Act_axn_k(x,t,Sex,Tafel,Zins,1)-alpha*t)'''","['alpha', 'beta1', 'gamma1', 'gamma2', 'k', 'n', 'Sex', 't', 'Tafel', 'x', 'Zins']","['act_dx', 'act_axn_k', 'act_ngrax']","['```python\ndef act_dx(alter: int, sex: str, tafel: str, zins: float, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_dx', '```python\ndef act_axn_k(alter: int, n: int, sex: str, tafel: str, zins: float, k: int, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_axn_k', '```python\ndef act_ngr_ax(alter: int, n: int, sex: str, tafel: str, zins: float, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_ngrax']","Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_k5():
    alpha = get_excel_global('alpha')
    beta1 = get_excel_global('beta1')
    gamma1 = get_excel_global('gamma1')
    gamma2 = get_excel_global('gamma2')
    k = get_excel_global('k')
    n = get_excel_global('n')
    Sex = get_excel_global('Sex')
    t = get_excel_global('t')
    Tafel = get_excel_global('Tafel')
    x = get_excel_global('x')
    Zins = get_excel_global('Zins')

    result = (
        act_ngr_ax(x, n, Sex, Tafel, Zins) +
        act_dx(x + n, Sex, Tafel, Zins) / act_dx(x, Sex, Tafel, Zins) +
        gamma1 * act_axn_k(x, t, Sex, Tafel, Zins, 1) +
        gamma2 * (act_axn_k(x, n, Sex, Tafel, Zins, 1) - act_axn_k(x, t, Sex, Tafel, Zins, 1))
    ) / (
        (1 - beta1) * act_axn_k(x, t, Sex, Tafel, Zins, 1) - alpha * t
    )
    return result
```

This Python function:
1. Retrieves all the named parameters from Excel using `get_excel_global()`
2. Implements the exact same calculation as the Excel formula
3. Uses the available functions (`act_dx`, `act_axn_k`, `act_ngr_ax`) with the correct parameter names
4. Returns the calculated result
5. Follows Python naming conventions (snake_case for function names) while maintaining the Excel formula's logic",devstral-small-2:24b,14372
Kalkulation,Kalkulation!K6,str,fkt_kalkulation_k6,'''=VS*K5''',['VS'],[],[],"```python
def fkt_kalkulation_k6():
    VS = get_excel_global('VS')
    value = get_cell_value(""Kalkulation!K5"")
    return VS * value
```",devstral-small-2:24b,1997
Kalkulation,Kalkulation!K7,str,fkt_kalkulation_k7,'''=(1+ratzu)/zw*(K6+k)''',"['k', 'ratzu', 't', 'zw']",[],[],"Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_k7():
    k = get_excel_global('k')
    ratzu = get_excel_global('ratzu')
    t = get_excel_global('t')
    zw = get_excel_global('zw')
    return (1 + ratzu) / zw * (get_cell_value(""Kalkulation!K6"") + k)
```",devstral-small-2:24b,3597
Kalkulation,Kalkulation!K9,ArrayFormula,fkt_kalkulation_k9,"'''=(act_nGrAx(x,n,Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x,Sex,Tafel,Zins)+t*alpha*B_xt)/Act_axn_k(x,t,Sex,Tafel,Zins,1)'''","['alpha', 'B_xt', 'k', 'n', 'Sex', 't', 'Tafel', 'x', 'Zins']","['act_dx', 'act_axn_k', 'act_ngrax']","['```python\ndef act_dx(alter: int, sex: str, tafel: str, zins: float, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_dx', '```python\ndef act_axn_k(alter: int, n: int, sex: str, tafel: str, zins: float, k: int, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_axn_k', '```python\ndef act_ngr_ax(alter: int, n: int, sex: str, tafel: str, zins: float, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_ngrax']","Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_k9():
    alpha = get_excel_global('alpha')
    B_xt = get_excel_global('B_xt')
    k = get_excel_global('k')
    n = get_excel_global('n')
    Sex = get_excel_global('Sex')
    t = get_excel_global('t')
    Tafel = get_excel_global('Tafel')
    x = get_excel_global('x')
    Zins = get_excel_global('Zins')

    return (act_ngr_ax(x, n, Sex, Tafel, Zins) +
            act_dx(x + n, Sex, Tafel, Zins) / act_dx(x, Sex, Tafel, Zins) +
            t * alpha * B_xt) / act_axn_k(x, t, Sex, Tafel, Zins, 1)
```

Note that I've:
1. Used the correct function names from the provided list (act_ngr_ax instead of act_nGrAx, act_dx instead of Act_Dx, etc.)
2. Maintained the exact same mathematical operations and order of operations
3. Used the local variables defined in the provided code
4. Followed Python naming conventions (snake_case for function names)
5. Kept the same parameter order as in the Excel functions",devstral-small-2:24b,10534
Kalkulation,Kalkulation!E12,str,fkt_kalkulation_e12,"'''=IF(zw=2,2%,IF(zw=4,3%,IF(zw=12,5%,0)))'''",['zw'],[],[],"Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_e12():
    zw = get_excel_global('zw')
    if zw == 2:
        return 0.02
    elif zw == 4:
        return 0.03
    elif zw == 12:
        return 0.05
    else:
        return 0
```

This implementation:
1. Gets the value of the named range 'zw' using get_excel_global
2. Uses if-elif-else statements to check the value of zw
3. Returns 2% (0.02) if zw equals 2
4. Returns 3% (0.03) if zw equals 4
5. Returns 5% (0.05) if zw equals 12
6. Returns 0 for any other value of zw",devstral-small-2:24b,6775
Kalkulation,Kalkulation!B16,ArrayFormula,fkt_kalkulation_b16,"'''=IF(A16<=n,act_nGrAx(x+$A16,MAX(0,n-$A16),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A16,Sex,Tafel,Zins),0)'''","['n', 'Sex', 't', 'Tafel', 'x', 'Zins']","['act_dx', 'act_ngrax']","['```python\ndef act_dx(alter: int, sex: str, tafel: str, zins: float, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_dx', '```python\ndef act_ngr_ax(alter: int, n: int, sex: str, tafel: str, zins: float, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_ngrax']","Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_b16():
    n = get_excel_global('n')
    Sex = get_excel_global('Sex')
    t = get_excel_global('t')
    Tafel = get_excel_global('Tafel')
    x = get_excel_global('x')
    Zins = get_excel_global('Zins')

    A16 = get_cell_value(""Kalkulation!A16"")

    if A16 <= n:
        return act_ngr_ax(x + A16, max(0, n - A16), Sex, Tafel, Zins) + act_dx(x + n, Sex, Tafel, Zins) / act_dx(x + A16, Sex, Tafel, Zins)
    else:
        return 0
```

This Python function:
1. Retrieves the global variables using `get_excel_global()`
2. Gets the cell value from A16 using `get_cell_value()`
3. Implements the same logic as the Excel formula:
   - Checks if A16 is less than or equal to n
   - If true, calculates the sum of two actuarial functions
   - If false, returns 0
4. Uses the available `act_ngr_ax` and `act_dx` functions that were provided",devstral-small-2:24b,10428
Kalkulation,Kalkulation!C16,ArrayFormula,fkt_kalkulation_c16,"'''=Act_axn_k(x+$A16,MAX(0,n-$A16),Sex,Tafel,Zins,1)'''","['k', 'n', 'Sex', 't', 'Tafel', 'x', 'Zins']",['act_axn_k'],"['```python\ndef act_axn_k(alter: int, n: int, sex: str, tafel: str, zins: float, k: int, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_axn_k']","Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_c16():
    k = get_excel_global('k')
    n = get_excel_global('n')
    Sex = get_excel_global('Sex')
    t = get_excel_global('t')
    Tafel = get_excel_global('Tafel')
    x = get_excel_global('x')
    Zins = get_excel_global('Zins')

    A16 = get_cell_value(""Kalkulation!A16"")
    return act_axn_k(x + A16, max(0, n - A16), Sex, Tafel, Zins, 1)
```

This implementation:
1. Retrieves all the named parameters using `get_excel_global`
2. Gets the cell value from ""Kalkulation!A16"" using `get_cell_value`
3. Calls the `act_axn_k` function with the appropriate parameters:
   - First parameter: `x + A16` (equivalent to `x+$A16` in Excel)
   - Second parameter: `max(0, n - A16)` (equivalent to `MAX(0,n-$A16)` in Excel)
   - Third to sixth parameters: `Sex`, `Tafel`, `Zins`, and `1` respectively",devstral-small-2:24b,10197
Kalkulation,Kalkulation!D16,ArrayFormula,fkt_kalkulation_d16,"'''=Act_axn_k(x+$A16,MAX(0,t-$A16),Sex,Tafel,Zins,1)'''","['k', 'n', 'Sex', 't', 'Tafel', 'x', 'Zins']",['act_axn_k'],"['```python\ndef act_axn_k(alter: int, n: int, sex: str, tafel: str, zins: float, k: int, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_axn_k']","Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_d16():
    k = get_excel_global('k')
    n = get_excel_global('n')
    Sex = get_excel_global('Sex')
    t = get_excel_global('t')
    Tafel = get_excel_global('Tafel')
    x = get_excel_global('x')
    Zins = get_excel_global('Zins')

    A16_value = get_cell_value(""Kalkulation!A16"")
    return act_axn_k(x + A16_value, max(0, t - A16_value), Sex, Tafel, Zins, 1)
```

This implementation:
1. Retrieves all the named parameters using get_excel_global
2. Gets the value from cell A16 in the Kalkulation sheet
3. Calls the act_axn_k function with the appropriate parameters:
   - First parameter: x + A16 value
   - Second parameter: max(0, t - A16 value)
   - Third parameter: Sex
   - Fourth parameter: Tafel
   - Fifth parameter: Zins
   - Sixth parameter: 1 (hardcoded as in the original formula)",devstral-small-2:24b,9512
Kalkulation,Kalkulation!E16,ArrayFormula,fkt_kalkulation_e16,"'''=B16-P_xt*D16+gamma2*(C16-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D16)'''","['gamma2', 'k', 'n', 'P_xt', 'Sex', 't', 'Tafel', 'x', 'Zins']",['act_axn_k'],"['```python\ndef act_axn_k(alter: int, n: int, sex: str, tafel: str, zins: float, k: int, gebjahr: int = None, rentenbeginnalter: int = None, schicht: int = 1) -> float:\n```# Excel: act_axn_k']","Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_e16():
    B16 = get_cell_value(""Kalkulation!B16"")
    D16 = get_cell_value(""Kalkulation!D16"")
    C16 = get_cell_value(""Kalkulation!C16"")
    P_xt = get_excel_global('P_xt')
    gamma2 = get_excel_global('gamma2')
    x = get_excel_global('x')
    n = get_excel_global('n')
    Sex = get_excel_global('Sex')
    Tafel = get_excel_global('Tafel')
    Zins = get_excel_global('Zins')
    t = get_excel_global('t')

    result = B16 - P_xt * D16 + gamma2 * (C16 - act_axn_k(x, n, Sex, Tafel, Zins, 1) / act_axn_k(x, t, Sex, Tafel, Zins, 1) * D16)
    return result
```

This function:
1. Retrieves all cell values and named ranges needed for the calculation
2. Implements the exact same logic as the Excel formula
3. Returns the computed result
4. Uses the provided helper functions to access Excel data
5. Follows Python naming conventions while maintaining the formula's structure",devstral-small-2:24b,10506
Kalkulation,Kalkulation!F16,str,fkt_kalkulation_f16,'''=VS*E16''',['VS'],[],[],"Here's the Python code that translates the Excel formula `=VS*E16` into a function:

```python
def fkt_kalkulation_f16():
    VS = get_excel_global('VS')
    value = get_cell_value(""Kalkulation!E16"")
    return VS * value
```

This function:
1. Retrieves the global named range 'VS' using `get_excel_global`
2. Gets the value from cell E16 in the Kalkulation sheet using `get_cell_value`
3. Returns the product of these two values, matching the Excel formula `=VS*E16`",devstral-small-2:24b,4963
Kalkulation,Kalkulation!G16,str,fkt_kalkulation_g16,'''=B16+gamma3*C16''',['gamma3'],[],[],"Here's the Python translation of the Excel formula:

```python
def fkt_kalkulation_g16():
    gamma3 = get_excel_global('gamma3')
    B16 = get_cell_value(""Kalkulation!B16"")
    C16 = get_cell_value(""Kalkulation!C16"")
    return B16 + gamma3 * C16
```",devstral-small-2:24b,3404
